model_name,model_source_url,tags_source_url,translation_source_url,tag_id,tag,display_name_en,wd14_category_id,wd14_category,semantic_class,chinese_translation,chinese_description,english_description,translation_method,note
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,1815,smile,smile,0,general,Expression / Gaze,微笑,表示愉悦、娱乐或幸福的表情，通常嘴角上扬。,"An expression showing pleasure, amusement, or happiness, usually with the corners of the mouth turned up.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,11906,open_mouth,open mouth,0,general,Expression / Gaze,张开嘴巴,嘴巴张开到足以看到里面。,The mouth being open wide enough to see inside.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,15080,short_hair,short hair,0,general,Body / Appearance,短发,头发长度到脖子但不超过肩膀，包括波波头、碗状头、平顶和寸头。,"For hair reaching the neck but not the shoulders, including bob cut, bowl cut, flattop, and undercut.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,10959,blue_eyes,blue eyes,0,general,Body / Appearance,蓝色眼睛,拥有蓝色眼睛的角色。,A character with blue colored eyes.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,412368,simple_background,simple background,0,general,Composition / Camera,简单背景,用于背景简单且与边缘颜色形成鲜明对比的页面。,Used for pages with a simple background that contrasts nicely with bordering colors.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,12590,shirt,shirt,0,general,Attire / Accessory,衬衫,穿在上半身的一件衣服,A piece of clothing worn on the upper half of a body,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,403247,large_breasts,large breasts,0,general,Body / Appearance,大胸部,比中等胸部大但比巨乳小的胸部。,Breasts that are larger than medium breasts but smaller than huge breasts.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,429,skirt,skirt,0,general,Attire / Accessory,裙子,裙子是一种从腰部垂下并覆盖全部或部分腿部的管状或锥形服装。,A skirt is a tube- or cone-shaped garment which hangs from the waist and covers all or part of the legs.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,87788,blonde_hair,blonde hair,0,general,Body / Appearance,金发,描绘的角色或人物有金色头发。,A character or person depicted has blonde hair.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,566835,multiple_girls,multiple girls,0,general,Person Count / Identity,多个女孩,描绘多个女性角色的图像,Images depicting multiple female characters,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,16867,brown_hair,brown hair,0,general,Body / Appearance,棕色头发,画中角色或人物有棕色头发。,A character or person depicted has brown colored hair.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,13200,black_hair,black hair,0,general,Body / Appearance,黑发,描绘的角色或人物有着黑色的头发。,A character or person depicted has black colored hair.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,383159,long_sleeves,long sleeves,0,general,Attire / Accessory,长袖,袖子覆盖手臂至少到手腕。,Sleeves that cover the arms to at least the wrists.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,380350,hair_ornament,hair ornament,0,general,Attire / Accessory,发饰,戴在头发上用于装饰或修饰的配件。,An accessory worn in the hair for decoration or ornamentation purposes.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,515193,white_background,white background,0,general,Composition / Camera,白色背景,背景颜色完全或主要为白色。,Backgrounds that are completely or predominantly white in color.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,540830,1boy,1boy,0,general,Person Count / Identity,单个男孩,画面中出现有且仅有一个男孩,An image depicting one male character.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,5735,gloves,gloves,0,general,Attire / Accessory,手套,覆盖双手或手腕的东东，每根手指都有分离的套筒或开口。,"A covering for the hands, or for the hand and wrist, with a separate sheath or opening for each finger.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,8526,red_eyes,red eyes,0,general,Body / Appearance,红色眼睛,一个拥有红色眼睛的角色。,A character with red colored eyes.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,2241,dress,dress,0,general,Attire / Accessory,连衣裙,连衣裙是一件由上衣和裙子组成的单一衣服。,A dress is a garment consisting of a bodice and skirt in one piece.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,1882,thighhighs,thighhighs,0,general,Attire / Accessory,大腿袜,从脚到大腿的袜子或长筒袜,Stockings or socks that cover the legs from foot to thigh.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,2373,hat,hat,0,general,Attire / Accessory,帽子,戴在头上的衣物，通常带有帽檐，但此标签指的是一般头饰。,"A garment worn on the head characterized by a brim, but this tag refers to headwear in general.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,375387,holding,holding,0,general,Action / Pose,握物,某人正在握着一个物品。,Someone is holding an object.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,4563,bow,bow,0,general,Attire / Accessory,蝴蝶结,蝴蝶结是一种通常由两个环和两条末端松散的绳子构成的结，常见于各种装饰和地方。,"A bow is a type of knot generally featuring two loops and two loose ends, seen in various accessories and places.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,9294,navel,navel,0,general,Body / Appearance,肚脐,肚脐露出，通常和裸露、腹部或腰部一起出现。,"The belly button is showing, usually goes with either nude, stomach or midriff.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,6126,animal_ears,animal ears,0,general,Species / Fantasy Trait,动物耳朵,有动物耳朵的角色，无论是真实的还是假的，也称为兽耳，通常放置在头顶或头的两侧。,"A character with animal ears, real or fake, also known as kemonomimi, typically placed on top or on the sides of the head.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,464575,ribbon,ribbon,0,general,Attire / Accessory,丝带,一种主要用于捆绑和系扎的薄而柔韧的材料，常见于衣物和头发。,"A thin band of flexible material used primarily for binding and tying, often seen in clothing and hair.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,658573,hair_between_eyes,hair between eyes,0,general,Body / Appearance,眉心刘海,长刘海的一束垂在前额中间，长度至少达到双眼之间。,"A hair bunch from long bangs that falls over the middle of the forehead, long enough to reach at least between the eyes of the person.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,572080,closed_mouth,closed mouth,0,general,Expression / Gaze,闭嘴,闭嘴与张嘴相反，角色保持嘴唇闭合，不显示口腔内部。,"The opposite of open mouth, where the character is keeping their lips together and not showing any interior portion of the mouth.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,1821,2girls,2girls,0,general,Person Count / Identity,两个女孩,图片中描绘了两个女性角色。,An image depicting two female characters.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,4607,cleavage,cleavage,0,general,Attire / Accessory,乳沟,动漫和艺术中女性乳房之间为了增加性吸引力的空间。,The space between a woman's breasts shown for sexual appeal in anime and art.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,16613,jewelry,jewelry,0,general,Attire / Accessory,首饰,用各种金属、宝石、贝壳和珠子制成的佩戴在身上的装饰品以增强外观。,"Any decorative adornments worn on a person made from various metals, gemstones, shells, and beads to enhance appearance.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,376054,bare_shoulders,bare shoulders,0,general,Attire / Accessory,露肩,当肩膀露出时，作为服装设计的一部分，下拉或下落等。,"When shoulders are exposed, as part of clothing design, pulling/falling down, or other.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,417660,very_long_hair,very long hair,0,general,Body / Appearance,超长头发,头发长度在腰间到地面之间。,Hair that extends from the waist to the floor.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,12289,sitting,sitting,0,general,Action / Pose,坐着,臀部靠在一个表面上（通常是椅子、沙发或长凳），可能还包括双腿或脚。,"The butt resting on a surface (often a chair, couch, or bench), possibly in addition to the legs or feet.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,1709,twintails,twintails,0,general,Other General,双马尾,一种把头发梳成两束马尾的发型。,A hair style where the hair is tied into sections forming two ponytails.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,667868,medium_breasts,medium breasts,0,general,Body / Appearance,中等胸部,胸部大于小胸但小于大胸。,Breasts larger than small breasts and smaller than large breasts.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,16578,brown_eyes,brown eyes,0,general,Body / Appearance,棕色眼睛,角色有棕色的眼睛。,A character with brown colored eyes.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,15675,standing,standing,0,general,Action / Pose,站立,一个或多个角色正在站立；他们的身体由他们的脚支撑着。,One or more characters are standing; their bodies are being supported by their feet.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,8889,nipples,nipples,0,general,NSFW / Nudity,乳头,乳房和男性胸肌上的小突起，在没有衣物遮挡时可见。,"The small projection of the mammary gland on the breasts and male pectorals, visible without clothing.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,10960,green_eyes,green eyes,0,general,Body / Appearance,绿眼睛,角色具有绿色的眼睛。,A character with green colored eyes.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,464906,underwear,underwear,0,general,NSFW / Nudity,内衣,穿在衣服下面的贴身衣物，通常直接紧贴皮肤。,"Clothes worn under clothes, most often directly on top of the skin.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,10953,blue_hair,blue hair,0,general,Body / Appearance,蓝色头发,一个角色或人被描绘成有蓝色头发。,A character or person depicted has blue colored hair.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,3843,jacket,jacket,0,general,Attire / Accessory,夹克,一种轻便的长袖腰长服装，主要用于时尚或防护。,"A lightweight garment that is sleeved and waist-length, mainly for fashion or protection.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,16509,school_uniform,school uniform,0,general,Attire / Accessory,校服,校服通常由不同年级的学生穿着；在日本，主要由初中和高中学生穿着。,"Uniforms commonly worn by students of various grades depending on the country; in Japan, they're mostly worn by middle school and high school students.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,15654,purple_eyes,purple eyes,0,general,Body / Appearance,紫色眼睛,具有紫色眼睛的角色。,A character with purple colored eyes.,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,466499,collarbone,collarbone,0,general,Body / Appearance,锁骨,描述描绘角色全露或部分露出锁骨（锁骨）的图片。,Describes images depicting characters with fully or partially exposed collarbones (clavicles).,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,15674,tail,tail,0,general,Species / Fantasy Trait,尾巴,从下背部伸出的长附件，通常覆盖毛皮或鳞片，常见于兽耳萌娘。,"A long appendage protruding from the lower back, often covered in fur or scales, commonly seen in animal girls.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,376766,white_shirt,white shirt,0,general,Attire / Accessory,白色衬衫,任何款式的衬衫，只要是白色的,Any style of shirt that's colored white,deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3,https://huggingface.co/SmilingWolf/wd-vit-tagger-v3/resolve/main/selected_tags.csv,https://huggingface.co/datasets/deepghs/tags_meta,608813,full_body,full body,0,general,Composition / Camera,全身,图像集中在角色的全身，占据画面的主要部分。,"An image focused on a character's full body, filling most of the frame.",deepghs_tags_meta_general_tags.csv,語義分類為規則式分組，非模型官方欄位。
